dataset,subject,measure,z,p,n_assignments,q
Talia,S08,learned_mean,-1.4087993820361928,0.90625,16,0.96875
Talia,S09,learned_mean,1.530719372040657,0.09375,16,0.28125
Talia,S10,learned_mean,1.5886616196353887,0.09375,16,0.28125
Talia,S11,learned_mean,1.449904597284752,0.09375,16,0.28125
Talia,S12,learned_mean,0.716677988625596,0.28125,16,0.6026785714285714
Talia,S13,learned_mean,-1.4220246494715316,0.96875,16,0.96875
Talia,S14,learned_mean,0.9767046759262551,0.21875,16,0.546875
Talia,S15,learned_mean,1.7973056464818853,0.03125,16,0.234375
Angelique,S02,roi_diff,1.4379258150617513,0.0703125,64,0.5022321428571429
Angelique,S03,roi_diff,1.1884234058657495,0.1171875,64,0.5022321428571429
Angelique,S04,roi_diff,-0.7394488664041745,0.7421875,64,0.8246527777777778
Angelique,S05,roi_diff,-1.276151096107018,0.8828125,64,0.8828125
Angelique,S07,roi_diff,1.334303638160511,0.1171875,64,0.5022321428571429
Angelique,S08,roi_diff,1.0148071883235137,0.1796875,64,0.5390625
Angelique,S09,roi_diff,2.0664514975611126,0.0078125,64,0.1171875
Angelique,S10,roi_diff,-0.4355167437411603,0.6796875,64,0.8203125
Angelique,S11,roi_diff,-0.08436034949237696,0.5234375,64,0.8203125
Angelique,S13,roi_diff,0.49782067820901155,0.3359375,64,0.7752403846153846
Angelique,S15,roi_diff,1.5029473637642932,0.0859375,64,0.5022321428571429
Angelique,S16,roi_diff,1.015525830416072,0.171875,32,0.5390625
Angelique,S18,roi_diff,-0.7784325292993739,0.7109375,64,0.8203125
Angelique,S19,roi_diff,-0.054989397087874835,0.5234375,64,0.8203125
Angelique,S21,roi_diff,-0.4394872753961119,0.6796875,64,0.8203125
Angelique,S22,roi_diff,-0.5288291949941727,0.6953125,64,0.8203125
Angelique,S23,roi_diff,2.2308740339170803,0.0078125,64,0.1171875
Angelique,S24,roi_diff,1.4088436856391449,0.1015625,64,0.5022321428571429
Angelique,S25,roi_diff,-1.1635966542471192,0.8671875,64,0.8828125
Angelique,S26,roi_diff,0.9617455944325471,0.1796875,64,0.5390625
Angelique,S27,roi_diff,-0.3108117841304836,0.6484375,64,0.8203125
Angelique,S28,roi_diff,-0.06380817586410835,0.5078125,64,0.8203125
Angelique,S29,roi_diff,-1.0934511312790522,0.8515625,64,0.8828125
Angelique,S31,roi_diff,-0.07173459284098227,0.5234375,64,0.8203125
Angelique,S32,roi_diff,0.8924204083174051,0.2109375,64,0.5752840909090909
Angelique,S33,roi_diff,-0.6229052080709467,0.7109375,64,0.8203125
Angelique,S34,roi_diff,0.8112770535265038,0.2578125,64,0.64453125
Angelique,S35,roi_diff,0.16868964488712224,0.4140625,64,0.8203125
Angelique,S37,roi_diff,-0.23063955242314332,0.5859375,64,0.8203125
Angelique,S38,roi_diff,-0.09669774592525533,0.5703125,64,0.8203125
Talia,S01,roi_diff,0.9785310302905728,0.15625,16,0.33482142857142855
Talia,S02,roi_diff,0.03956181441745325,0.46875,16,0.5408653846153846
Talia,S03,roi_diff,1.6308824157228996,0.03125,16,0.1171875
Talia,S04,roi_diff,-1.6402860143281346,0.96875,16,0.96875
Talia,S05,roi_diff,0.521899162550697,0.46875,16,0.5408653846153846
Talia,S06,roi_diff,-1.5565322770169272,0.96875,16,0.96875
Talia,S07,roi_diff,1.8712528743661767,0.03125,16,0.1171875
Talia,S08,roi_diff,1.3613288993639578,0.03125,16,0.1171875
Talia,S09,roi_diff,1.6284416133807016,0.03125,16,0.1171875
Talia,S10,roi_diff,1.0302281115642011,0.15625,16,0.33482142857142855
Talia,S11,roi_diff,0.4471128523230254,0.34375,16,0.5408653846153846
Talia,S12,roi_diff,1.0822881967673466,0.15625,16,0.33482142857142855
Talia,S13,roi_diff,1.0850387265971297,0.21875,16,0.41015625
Talia,S14,roi_diff,0.2737657806977222,0.46875,16,0.5408653846153846
Talia,S15,roi_diff,0.2828653482417809,0.40625,16,0.5408653846153846
Angelique,S02,roi_mean,1.7352919522470704,0.0390625,64,0.29296875
Angelique,S03,roi_mean,1.143883505348725,0.1328125,64,0.48677884615384615
Angelique,S04,roi_mean,1.722780806984643,0.0546875,64,0.328125
Angelique,S05,roi_mean,0.40246333871366635,0.3515625,64,0.5550986842105263
Angelique,S07,roi_mean,1.0398889003546876,0.1640625,64,0.48677884615384615
Angelique,S08,roi_mean,0.43220237761065905,0.3046875,64,0.5550986842105263
Angelique,S09,roi_mean,-0.3660973130867592,0.6328125,64,0.796875
Angelique,S10,roi_mean,-0.6623161459931127,0.7109375,64,0.8072916666666666
Angelique,S11,roi_mean,1.4445823362569485,0.0703125,64,0.3515625
Angelique,S13,roi_mean,0.16992549940717788,0.4765625,64,0.6808035714285714
Angelique,S15,roi_mean,1.1291679680979723,0.1796875,64,0.48677884615384615
Angelique,S16,roi_mean,-0.7565034679259649,0.796875,32,0.8537946428571429
Angelique,S18,roi_mean,0.3307651321237935,0.3515625,64,0.5550986842105263
Angelique,S19,roi_mean,-0.6626756819524474,0.7265625,64,0.8072916666666666
Angelique,S21,roi_mean,2.0579303288592796,0.0078125,64,0.1171875
Angelique,S22,roi_mean,1.2105652973817633,0.1953125,64,0.48677884615384615
Angelique,S23,roi_mean,0.452731568135567,0.3203125,64,0.5550986842105263
Angelique,S24,roi_mean,1.0793948216329616,0.1640625,64,0.48677884615384615
Angelique,S25,roi_mean,0.8872345430303611,0.2109375,64,0.48677884615384615
Angelique,S26,roi_mean,1.9866701606344093,0.0078125,64,0.1171875
Angelique,S27,roi_mean,-0.33277936448959416,0.6484375,64,0.796875
Angelique,S28,roi_mean,-0.04835645278298452,0.5078125,64,0.6924715909090909
Angelique,S29,roi_mean,0.6268953183011885,0.2734375,64,0.5550986842105263
Angelique,S31,roi_mean,1.5849917975966898,0.0390625,64,0.29296875
Angelique,S32,roi_mean,-0.7234122975406243,0.6640625,64,0.796875
Angelique,S33,roi_mean,1.2994875759007731,0.1328125,64,0.48677884615384615
Angelique,S34,roi_mean,-1.1301944892729183,0.8671875,64,0.8970905172413793
Angelique,S35,roi_mean,-1.6304263729201296,0.9765625,64,0.9765625
Angelique,S37,roi_mean,0.08106591072827968,0.4453125,64,0.66796875
Angelique,S38,roi_mean,0.7912490466758737,0.2890625,64,0.5550986842105263
Talia,S01,roi_mean,0.08165044741387295,0.40625,16,0.90625
Talia,S02,roi_mean,-0.6825716353251663,0.71875,16,0.90625
Talia,S03,roi_mean,1.112377389429938,0.15625,16,0.78125
Talia,S04,roi_mean,-1.0584209251253391,0.78125,16,0.90625
Talia,S05,roi_mean,0.19979447231274441,0.40625,16,0.90625
Talia,S06,roi_mean,-0.6505639081217418,0.71875,16,0.90625
Talia,S07,roi_mean,-1.2713197692207452,0.90625,16,0.90625
Talia,S08,roi_mean,-1.1919370727531178,0.84375,16,0.90625
Talia,S09,roi_mean,-0.3654830942521601,0.59375,16,0.90625
Talia,S10,roi_mean,1.0773995631588567,0.15625,16,0.78125
Talia,S11,roi_mean,1.1873952543200257,0.03125,16,0.46875
Talia,S12,roi_mean,-0.6907265697932518,0.65625,16,0.90625
Talia,S13,roi_mean,-1.4076911618337513,0.90625,16,0.90625
Talia,S14,roi_mean,0.9576687325568358,0.21875,16,0.8203125
Talia,S15,roi_mean,-1.026639629831141,0.78125,16,0.90625
